target_gene,tissue,outcome,outcome_display,p_value,FDR,p_full_delta,FDR_full_delta,significant_category,full_delta_category
IL17RA,Whole_Blood,alopecia_areata,Alopecia areata,0.2374329753526842,0.7010734975617608,0.2412018890441108,0.712140379591961,null,null
IL17RA,Whole_Blood,atopic_dermatitis,Dermatitis/eczema,0.2368254420575428,0.7010734975617608,0.2406021790301433,0.712140379591961,null,null
IL17RA,Whole_Blood,psoriasis,Psoriasis,0.5673387092014026,0.9799421359717464,0.5680713433653658,0.9799448763996494,null,null
IL17RA,Whole_Blood,vitiligo,Vitiligo,0.8950339967584244,0.9799421359717464,0.8950445200316262,0.9799448763996494,null,null
PDE4C,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.7442292104144205,0.9799421359717464,0.7446189580549261,0.9799448763996494,null,null
PDE4C,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.2297377996057598,0.7010734975617608,0.2395647376899332,0.712140379591961,null,null
PDE4C,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,0.130809458446113,0.7010734975617608,0.1437126216542254,0.712140379591961,null,null
PDE4C,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.8388976669866094,0.9799421359717464,0.8389952273380541,0.9799448763996494,null,null
TSLP,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.8806690891441462,0.9799421359717464,0.8806755186497367,0.9799448763996494,null,null
TSLP,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.6878968696634638,0.9799421359717464,0.6880117487452604,0.9799448763996494,null,null
TSLP,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,0.2638628334109231,0.7010734975617608,0.2652952700046769,0.712140379591961,null,null
TSLP,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.2291289972737391,0.7010734975617608,0.2307467971484979,0.712140379591961,null,null
TSLP,Skin_Sun_Exposed_Lower_leg,alopecia_areata,Alopecia areata,0.5392460431955999,0.9649666036131788,0.5395636699291327,0.9655349882942376,null,null
TSLP,Skin_Sun_Exposed_Lower_leg,atopic_dermatitis,Dermatitis/eczema,0.2853055415378526,0.7010734975617608,0.2864464260597388,0.712140379591961,null,null
TSLP,Skin_Sun_Exposed_Lower_leg,psoriasis,Psoriasis,0.7810200814844162,0.9799421359717464,0.7810543592425145,0.9799448763996494,null,null
TSLP,Skin_Sun_Exposed_Lower_leg,vitiligo,Vitiligo,0.2390522421234455,0.7010734975617608,0.2404028257187802,0.712140379591961,null,null
FLG,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.7481821813910179,0.9799421359717464,0.7485449844181512,0.9799448763996494,null,null
FLG,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.7833777511220558,0.9799421359717464,0.7836088698196809,0.9799448763996494,null,null
FLG,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,0.9511203084431656,0.9799421359717464,0.951122968270248,0.9799448763996494,null,null
FLG,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.9840659194179732,0.9842366846334129,0.9840660115649192,0.9842367404932494,null,null
FLG,Skin_Sun_Exposed_Lower_leg,alopecia_areata,Alopecia areata,0.7484531727601702,0.9799421359717464,0.7486797813351631,0.9799448763996494,null,null
FLG,Skin_Sun_Exposed_Lower_leg,atopic_dermatitis,Dermatitis/eczema,0.7863645173261117,0.9799421359717464,0.7865034095455146,0.9799448763996494,null,null
FLG,Skin_Sun_Exposed_Lower_leg,psoriasis,Psoriasis,0.939353892722132,0.9799421359717464,0.9393570735005468,0.9799448763996494,null,null
FLG,Skin_Sun_Exposed_Lower_leg,vitiligo,Vitiligo,0.9842366846334129,0.9842366846334129,0.9842367404932494,0.9842367404932494,null,null
CARD14,Skin_Not_Sun_Exposed_Suprapubic,alopecia_areata,Alopecia areata,0.8350539924699495,0.9799421359717464,0.8351589041983147,0.9799448763996494,null,null
CARD14,Skin_Not_Sun_Exposed_Suprapubic,atopic_dermatitis,Dermatitis/eczema,0.1467517143714845,0.7010734975617608,0.1592448805454315,0.712140379591961,null,null
CARD14,Skin_Not_Sun_Exposed_Suprapubic,psoriasis,Psoriasis,0.8505132015911661,0.9799421359717464,0.8505913086113129,0.9799448763996494,null,null
CARD14,Skin_Not_Sun_Exposed_Suprapubic,vitiligo,Vitiligo,0.0752015347159611,0.7010734975617608,0.0889754508357167,0.712140379591961,null,null
CARD14,Skin_Sun_Exposed_Lower_leg,alopecia_areata,Alopecia areata,0.102078769227545,0.7010734975617608,0.1139622627505711,0.712140379591961,null,null
CARD14,Skin_Sun_Exposed_Lower_leg,atopic_dermatitis,Dermatitis/eczema,0.8019558305876249,0.9799421359717464,0.8021149167839463,0.9799448763996494,null,null
CARD14,Skin_Sun_Exposed_Lower_leg,psoriasis,Psoriasis,0.2444544194002891,0.7010734975617608,0.252677948521774,0.712140379591961,null,null
CARD14,Skin_Sun_Exposed_Lower_leg,vitiligo,Vitiligo,0.7204706018586151,0.9799421359717464,0.7209172155388828,0.9799448763996494,null,null
CARD14,Whole_Blood,alopecia_areata,Alopecia areata,0.3416694957459829,0.7786882173484008,0.3444330893440113,0.7896457561873554,null,null
CARD14,Whole_Blood,atopic_dermatitis,Dermatitis/eczema,0.102612703958394,0.7010734975617608,0.1084278467754525,0.712140379591961,null,null
CARD14,Whole_Blood,psoriasis,Psoriasis,0.0051933694731684,0.0882872810438641,0.0076913681128742,0.1307532579188615,nominal,nominal
CARD14,Whole_Blood,vitiligo,Vitiligo,0.2620246195834673,0.7010734975617608,0.2658211904161375,0.712140379591961,null,null
